candidate_id,name_de,source_url,category_proposal,location_scope,reviewer_verdict,review_notes
MB-2024-01038,Sanierung des Uferwanderweges Konradshöhe,https://mein.berlin.de/vorhaben/2024-01038/,public_space,official_register_navigation_point_not_footprint,,
MB-2024-01028,Grundinstandsetzung Jugendfreizeitstätte Fuchsbau,https://mein.berlin.de/vorhaben/2024-01028/,civic_sport,official_register_navigation_point_not_footprint,,
MB-2024-01023,Umgestaltung der Ella-Barowsky-Straße,https://mein.berlin.de/vorhaben/2024-01023/,transport,official_register_navigation_point_not_footprint,,
MB-2024-01020,Umgestaltung des Kinderspielplatzes in der Silbersteinstraße 119,https://mein.berlin.de/vorhaben/2024-01020/,public_space,official_register_navigation_point_not_footprint,,
MB-2024-01014,Sanierung und Erweiterung der Jugendfreizeiteinrichtung Düppel,https://mein.berlin.de/vorhaben/2024-01014/,civic_sport,official_register_navigation_point_not_footprint,,
MB-2024-01002,Umbau der Ilsestraße zur Fahrradstraße,https://mein.berlin.de/vorhaben/2024-01002/,transport,official_register_navigation_point_not_footprint,,
MB-2024-00999,Aufwertung und Sanierung des Rosengartens in Reinickendorf,https://mein.berlin.de/vorhaben/2024-00999/,public_space,official_register_navigation_point_not_footprint,,
MB-2024-00994,Neubau Umspannwerk Amalienhof,https://mein.berlin.de/vorhaben/2024-00994/,energy,official_register_navigation_point_not_footprint,,
MB-2024-00987,Neubau Beratungszentrum am Senftenberger Ring 27a,https://mein.berlin.de/vorhaben/2024-00987/,civic_sport,official_register_navigation_point_not_footprint,,
MB-2024-00983,Gesamtsanierung der Miriam-Makeba-Grundschule – Gebäudehülle und Innensanierung,https://mein.berlin.de/vorhaben/2024-00983/,education,official_register_navigation_point_not_footprint,,
MB-2024-00981,Neubau einer Gemeinschaftsschule an der Pankstraße 70 / Orthstraße 1,https://mein.berlin.de/vorhaben/2024-00981/,education,official_register_navigation_point_not_footprint,,
MB-2024-00979,Neubau Gymnasium Schulstraße 97,https://mein.berlin.de/vorhaben/2024-00979/,education,official_register_navigation_point_not_footprint,,
MB-2024-00978,"Carl-Kraemer-Grundschule, Gesamtsanierung",https://mein.berlin.de/vorhaben/2024-00978/,education,official_register_navigation_point_not_footprint,,
MB-2024-00973,Erneuerung der Uferwege und Freiflächen am Urbanhafen in Friedrichshain-Kreuzberg,https://mein.berlin.de/vorhaben/2024-00973/,public_space,official_register_navigation_point_not_footprint,,
MB-2024-00958,Neugestaltung Europaplatz Nord,https://mein.berlin.de/vorhaben/2024-00958/,public_space,official_register_navigation_point_not_footprint,,
MB-2024-00955,Neubau Wegeverbindung am Stangenpfuhl,https://mein.berlin.de/vorhaben/2024-00955/,public_space,official_register_navigation_point_not_footprint,,
MB-2024-00951,Sanierung des Bolzplatzes Bernkastler Platz,https://mein.berlin.de/vorhaben/2024-00951/,public_space,official_register_navigation_point_not_footprint,,
MB-2024-00949,Umgestaltung des Hermann-Ehlers-Platz,https://mein.berlin.de/vorhaben/2024-00949/,public_space,official_register_navigation_point_not_footprint,,
MB-2024-00917,Umgestaltung des Barbarossaplatzes,https://mein.berlin.de/vorhaben/2024-00917/,public_space,official_register_navigation_point_not_footprint,,
MB-2024-00914,Sanierung Bolzplatz Singerstraße,https://mein.berlin.de/vorhaben/2024-00914/,public_space,official_register_navigation_point_not_footprint,,
MB-2024-00910,Modernisierung Umspannwerk Kladow,https://mein.berlin.de/vorhaben/2024-00910/,energy,official_register_navigation_point_not_footprint,,
MB-2024-00906,Erneuerung Kinderspielplatz Agnes-Sorma Platz,https://mein.berlin.de/vorhaben/2024-00906/,public_space,official_register_navigation_point_not_footprint,,
MB-2024-00901,Grundinstandsetzung Tunnel Schlangenbader Straße,https://mein.berlin.de/vorhaben/2024-00901/,transport,official_register_navigation_point_not_footprint,,
MB-2024-00882,Grunderneuerung Promenadenwege Rudower Fließ,https://mein.berlin.de/vorhaben/2024-00882/,public_space,official_register_navigation_point_not_footprint,,
MB-2024-00867,Baumaßnahme zur Sanierung und Umnutzung des denkmalgeschützten Kioskgebäudes am Schäfersee,https://mein.berlin.de/vorhaben/2024-00867/,civic_sport,official_register_navigation_point_not_footprint,,
MB-2024-00866,Neubau Jugend- und Stadtteilzentrum Auguste-Viktoria-Allee,https://mein.berlin.de/vorhaben/2024-00866/,civic_sport,official_register_navigation_point_not_footprint,,
MB-2024-00858,Neubau Gollanczstraße,https://mein.berlin.de/vorhaben/2024-00858/,transport,official_register_navigation_point_not_footprint,,
MB-2024-00854,Neubau Spielplatz Freizeitpark Lübars,https://mein.berlin.de/vorhaben/2024-00854/,public_space,official_register_navigation_point_not_footprint,,
MB-2024-00853,Neubau Außenanlagen Dachsbau,https://mein.berlin.de/vorhaben/2024-00853/,public_space,official_register_navigation_point_not_footprint,,
MB-2024-00852,Neubau einer 4-zügigen Grundschule mit Sporthalle - Cité Foch,https://mein.berlin.de/vorhaben/2024-00852/,education,official_register_navigation_point_not_footprint,,
MB-2023-00846,Neugestaltung (Spiel-)Platz an der Remise,https://mein.berlin.de/vorhaben/2023-00846/,public_space,official_register_navigation_point_not_footprint,,
MB-2023-00844,Erneuerung der Prenzlauer Promenade zwischen Am Steinberg und Rothenbachstraße,https://mein.berlin.de/vorhaben/2023-00844/,public_space,official_register_navigation_point_not_footprint,,
MB-2023-00837,Neubau Markgrafenstraße,https://mein.berlin.de/vorhaben/2023-00837/,transport,official_register_navigation_point_not_footprint,,
MB-2023-00831,Ausbau Kinder- und Jugendhaus Nahariyastraße zum Familiencampus,https://mein.berlin.de/vorhaben/2023-00831/,civic_sport,official_register_navigation_point_not_footprint,,
MB-2023-00826,Klima- und denkmalgerechte Umgestaltung des Ensembles „Dorfanger Bohnsdorf“,https://mein.berlin.de/vorhaben/2023-00826/,public_space,official_register_navigation_point_not_footprint,,
MB-2023-00824,Sanierung des Gartendenkmals Volkspark Mariendorf,https://mein.berlin.de/vorhaben/2023-00824/,public_space,official_register_navigation_point_not_footprint,,
